,x,y,t,collision
0,0.0,0.0,0.0,0.0
1,0.025657401356411456,-0.009726809699452402,6.040764313637843e-05,24.0
2,0.10311264272348836,-0.04477298431080257,0.0003797354897012405,142.0
3,0.16006227640852175,-0.07165261281205854,0.0006037850179381489,228.0
4,0.16526539227723194,-0.07400417652071563,0.0006253602849923079,233.0
5,0.1678047909594491,-0.08326238536329626,0.000732300874330961,274.0
6,0.167763969128299,-0.08216910053321064,0.0007428626512697794,279.0
7,0.17564371414196242,-0.07608952212388831,0.0009017551988977899,344.0
8,0.18413235811955095,-0.05819379687371282,0.0009949678511359215,373.0
9,0.1871623638630874,-0.04690940764506665,0.0011104047774765828,414.0
10,0.19805445363911883,-0.034286203253948676,0.001304897448522145,496.0
11,0.17728967217768077,-0.06875665084633586,0.0015332126207574983,595.0
12,0.16683274692214306,-0.030742101211126988,0.0020018841430706684,782.0
13,0.1666034528130226,-0.03499694220737087,0.0020252333024137056,796.0
14,0.21792982506401584,-0.20206631792487537,0.0026875864546385252,1063.0
15,0.25569150139828356,-0.25326399397726546,0.002898204871718849,1145.0
16,0.2662541360615722,-0.263624174665997,0.0029543550739141258,1172.0
17,0.32548382438960977,-0.29701948569336095,0.003248633334705218,1299.0
18,0.45480179335102144,-0.3490299190079821,0.0035501714867194204,1428.0
19,0.6000144980966619,-0.3830336508517207,0.003983578443067926,1596.0
20,0.7311319147677163,-0.4136039915366309,0.0043746684442334365,1770.0
21,0.7477037641165933,-0.4107689339369497,0.004458274311980959,1805.0
22,0.7985214247712626,-0.4018277627188876,0.004700476045364882,1893.0
23,0.8031868317819195,-0.40044334994223735,0.0047190201137570055,1898.0
24,0.8704309131202471,-0.37447068103806797,0.004948207776927094,1984.0
25,0.9076471518789292,-0.3606520067458777,0.005141633639686348,2059.0
26,0.9702311985812404,-0.2844417011877981,0.005640090508586057,2257.0
27,0.967426240745988,-0.2778223805087713,0.0057154792223996125,2289.0
28,0.9458674791301035,-0.28394561174148386,0.005950088341468742,2391.0
29,0.943113853378864,-0.32742673789341004,0.006289983282797706,2518.0
30,0.9961011474682293,-0.3889975631256941,0.006671656178093686,2666.0
31,1.078390999995996,-0.4277551798369377,0.006964364241620914,2788.0
32,1.0929658295732385,-0.4360294250638707,0.007053746278603668,2821.0
33,1.4101903641764175,-0.4468297184490133,0.008322943790982931,3337.0
34,1.5357314567166338,-0.44671747480721324,0.008863211745362705,3560.0
35,1.5530325819510453,-0.4537874583275775,0.00898159703890234,3602.0
36,1.5536127899295986,-0.4528245163092437,0.009104295483140038,3653.0
37,1.5449355964015188,-0.4497717278437793,0.009738008170447766,3928.0
38,1.5363517831274733,-0.46949901949231937,0.010040463972397148,4031.0
39,1.5955978966840287,-0.47327284385467383,0.010228161070667104,4119.0
40,1.5962778149659238,-0.4735526996169609,0.01023107449801007,4122.0
41,1.6253013504568599,-0.4676862321424192,0.010385410142916135,4180.0
42,1.6317098173701416,-0.463350626417156,0.01042483540600337,4200.0
43,1.6481558743514333,-0.43598508944993974,0.010553311078904476,4245.0
